,Unnamed: 0,book_id,Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
11359,11359,B10011360,The Private World of Georgette Heyer,"""The Georgette Heyer bible...This is a must-have book for any Georgette Heyer lover."" -Historically Obsessed An internationally bestselling phenomenon and queen of the Regency romance, Georgette Heyer is one of the most beloved historical novelists of our time. She wrote more than fifty novels, yet her private life was inaccessible to any but her nearest friends and relatives. Lavishly illustrated and with access to private papers, correspondence and family archives, this classic biography opens a window into Georgette Heyer's world and that of her most memorable characters, revealing a formidable, energetic woman with an impeccable sense of style and, beyond everything, a love for all things Regency. ""One of the most beautiful books I know. Time and time again, on reading this book, I found myself breaking off to lift another dog-eared Heyer from the shelf and lose myself in the increased pleasure of a re-reading."" -Washington Post Book World",['Jane Hodge'],http://books.google.com/books/content?id=WcI9DQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=WcI9DQAAQBAJ&printsec=frontcover&dq=The+Private+World+of+Georgette+Heyer&hl=&cd=1&source=gbs_api,"Sourcebooks, Inc.",2011-08-01,https://play.google.com/store/books/details?id=WcI9DQAAQBAJ&source=gbs_api,['Biography & Autobiography'],
12780,12780,B10012781,Beginning ASP.Net Using C#,"This title looks at how you can create data-centric asp.NET applications. It contains code examples which demonstrate important fundamental principles. Requiring some basic knowledge of ASP.NET and Access or a SQL-based RDBMS, it looks at the processes involved in connecting ASP.NET pages to a database and investigates the various ways of reading data. It then considers the major issues involved in data heavy ASP.NET programming, including some slightly more advanced topics such as using stored procedures and components.",['Jesudas Chinnathampi'],http://books.google.com/books/content?id=r0QWQAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=r0QWQAAACAAJ&dq=Beginning+ASP.Net+Using+C&hl=&cd=1&source=gbs_api,Wrox,2002,http://books.google.com/books?id=r0QWQAAACAAJ&dq=Beginning+ASP.Net+Using+C&hl=&source=gbs_api,['Active server pages'],
11634,11634,B10011635,"Play Football The NFL Way: Position-by-Position Techniques and Drills for Offense, Defense, and Special Teams","Explains how to play as a quarterback, running back, receiver, lineman, linebacker, defensive back, or kicker, and suggests useful practice drills",['Tom Bass'],http://books.google.com/books/content?id=GmbHwKOvNcIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=GmbHwKOvNcIC&printsec=frontcover&dq=Play+Football+The+NFL+Way:+Position-by-Position+Techniques+and+Drills+for+Offense,+Defense,+and+Special+Teams&hl=&cd=1&source=gbs_api",Macmillan,1991-06-15,"http://books.google.com/books?id=GmbHwKOvNcIC&dq=Play+Football+The+NFL+Way:+Position-by-Position+Techniques+and+Drills+for+Offense,+Defense,+and+Special+Teams&hl=&source=gbs_api",['Sports & Recreation'],1.0
7363,7363,B10007364,Antic Hay,Some of the characters are thinly disguised portraits. Perhaps the most famous of Huxley's early novels.,['Aldous Huxley'],http://books.google.com/books/content?id=pg8FAQAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=pg8FAQAAIAAJ&printsec=frontcover&dq=Antic+Hay&hl=&cd=1&source=gbs_api,"New York, G.H. Doran [1923]",1923,https://play.google.com/store/books/details?id=pg8FAQAAIAAJ&source=gbs_api,['City and town life'],7.0
5920,5920,B10005921,Silver Brumby whirlwind;,"A further four Silver Brumby titles in one beautiful edition. Following on from the success of The Silver Brumby Centenary Edition, this bind-up contains the next four titles in the Silver Brumby series - Moon Filly, Silver Brumby Whirlwind, Son of the Whirlwind and Silver Brumby, Silver Dingo and continues the story of Thowra, the magnificent silver stallion, king of the brumbies. This beautiful edition will be treasured by the many fans of The Silver Brumby series, who will delight in these four titles being published together.",['Elyne Mitchell'],http://books.google.com/books/content?id=Cfl7kgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=Cfl7kgEACAAJ&dq=Silver+Brumby+whirlwind%3B&hl=&cd=1&source=gbs_api,Angus & Robertson,2013,http://books.google.com/books?id=Cfl7kgEACAAJ&dq=Silver+Brumby+whirlwind%3B&hl=&source=gbs_api,['Friendship'],
9522,9522,B10009523,12 Again,"When an overburdened journalist mom makes an idle wish while drinking a special cordial, she wakes up the next morning as her twelve-year-old self and needs her son's help surviving middle school and getting back to her family.",['Sue Corbett'],http://books.google.com/books/content?id=t6nJpvtRLZkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=t6nJpvtRLZkC&q=12+Again&dq=12+Again&hl=&cd=1&source=gbs_api,Puffin Books,2007,http://books.google.com/books?id=t6nJpvtRLZkC&dq=12+Again&hl=&source=gbs_api,['Juvenile Fiction'],3.0
4367,4367,B10004368,Manual of the Vascular Flora of the Carolinas,"This illustrated manual describes and discusses the unusually rich and varied flora of the Carolinas, from the semi-tropical coast of South Carolina to the northern forests of the high North Carolina mountains. The manual treats in detail and in a concise format more than 3, 200 species of trees, shrubs, vines, herbs and ferns that grow without cultivation in this two-state area. Special features include diagnostic illustrations, keys for identification, detailed descriptions, flowering and fruiting dates, habitat data, distribution data, and pertinent synonymy for each species. County dot maps show the distribution of each species if found in more than five counties throughout the two-state area, and general ranges beyond our borders are given in the text. First published in 1968, Manual of the Vascular Flora of the Carolinas is an established reference for professionals, students, and plant enthusiasts throughout the Southeastern United States. It is based on the collection and examination of more than 200,000 live specimens. Many of these specimens are now housed in the herbarium at the University of North Carolina at Chapel Hill","['Albert E. Radford', 'Harry E. Ahles', 'C. Ritchie Bell']",http://books.google.com/books/content?id=2VawQPVDLvYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=2VawQPVDLvYC&printsec=frontcover&dq=Manual+of+the+Vascular+Flora+of+the+Carolinas&hl=&cd=1&source=gbs_api,Univ of North Carolina Press,2010-06-15,http://books.google.nl/books?id=2VawQPVDLvYC&dq=Manual+of+the+Vascular+Flora+of+the+Carolinas&hl=&source=gbs_api,['Science'],
9254,9254,B10009255,Home Ground: Language for an American Landscape,"Published to great acclaim in 2006, the hardcover edition of Home Ground: Language for an American Landscape met with outstanding reviews and strong sales, going into three printings. A language-lover's dream, Home Ground revitalized a descriptive language for the American landscape by combining geography, literature, and folklore in one volume. Now in paperback, this visionary reference is available to an entire new segment of readers. Home Ground brings together 45 poets and writers to create more than 850 original definitions for words that describe our lands and waters. The writers draw from careful research and their own distinctive stylistic, personal, and regional diversity to portray in bright, precise prose the striking complexity of the landscapes we inhabit. Home Ground includes 100 black-and-white line drawings by Molly O’Halloran and an introductory essay by Barry Lopez.","['Barry Lopez', 'Debra Gwartney']",http://books.google.com/books/content?id=6T_pCAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=6T_pCAAAQBAJ&printsec=frontcover&dq=Home+Ground:+Language+for+an+American+Landscape&hl=&cd=1&source=gbs_api,Trinity University Press,2011-04-14,https://play.google.com/store/books/details?id=6T_pCAAAQBAJ&source=gbs_api,['Reference'],2.0
5601,5601,B10005602,"Janet Frame: An Autobiography; Volume One : To the Is-Land, Volume Two : An Angel at My Table, Volume Three : The Envoy from Mirror City/ 3 Volumes in One Book",New Zealand's preeminent writer brings the skill of an extraordinary novelist and poet to these vivid and haunting recollections.,['Janet Frame'],http://books.google.com/books/content?id=dkmgzBDPb3AC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.com/books?id=dkmgzBDPb3AC&q=Janet+Frame:+An+Autobiography%3B+Volume+One+:+To+the+Is-Land,+Volume+Two+:+An+Angel+at+My+Table,+Volume+Three+:+The+Envoy+from+Mirror+City/+3+Volumes+in+One+Book&dq=Janet+Frame:+An+Autobiography%3B+Volume+One+:+To+the+Is-Land,+Volume+Two+:+An+Angel+at+My+Table,+Volume+Three+:+The+Envoy+from+Mirror+City/+3+Volumes+in+One+Book&hl=&cd=1&source=gbs_api",George Braziller,1991,"http://books.google.com/books?id=dkmgzBDPb3AC&dq=Janet+Frame:+An+Autobiography%3B+Volume+One+:+To+the+Is-Land,+Volume+Two+:+An+Angel+at+My+Table,+Volume+Three+:+The+Envoy+from+Mirror+City/+3+Volumes+in+One+Book&hl=&source=gbs_api",['Biography & Autobiography'],
2021,2021,B10002022,The Monk in the Garden : The Lost and Found Genius of Gregor Mendel,"A fresh study of the groundbreaking work in genetics conducted by Gregor Mendel, acclaimed as the father of modern genetics, argues that the Moravian monk was far ahead of his time.",['Robin Marantz Henig'],http://books.google.com/books/content?id=NEO2bQ-k-nMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=NEO2bQ-k-nMC&printsec=frontcover&dq=The+Monk+in+the+Garden+:+The+Lost+and+Found+Genius+of+Gregor+Mendel&hl=&cd=1&source=gbs_api,Houghton Mifflin Harcourt,2000,http://books.google.com/books?id=NEO2bQ-k-nMC&dq=The+Monk+in+the+Garden+:+The+Lost+and+Found+Genius+of+Gregor+Mendel&hl=&source=gbs_api,['Biography & Autobiography'],3.0
1954,1954,B10001955,The Beast of Bray Road: Tailing Wisconsin's Werewolf,"In the early 1990s people around the small town of Elkhorn, Wisconsin, claimed to see strange, hairy, wolf-headed creatures that sometimes walked upright and seemed not afraid of man. The canid sensation was soon dubbed Beast of Bray Road, after the location of the first reported sightings. Author Linda Godfrey began investigating this story and soon found herself in the middle of a national sensation. Nobody has ever been able to prove whether the beast is a flesh-and-blood werewolf or will-o'-the-wisp, demon dog, or noble animal. But the author gives the reader plenty to chew on. Make up your own mind, if you do so at all, only after the marrow has been extracted and well digested.",['Linda S. Godfrey'],http://books.google.com/books/content?id=h_Po8ixCCqUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=h_Po8ixCCqUC&printsec=frontcover&dq=The+Beast+of+Bray+Road:+Tailing+Wisconsin%27s+Werewolf&hl=&cd=1&source=gbs_api,Big Earth Publishing,2003,http://books.google.com/books?id=h_Po8ixCCqUC&dq=The+Beast+of+Bray+Road:+Tailing+Wisconsin%27s+Werewolf&hl=&source=gbs_api,"['Body, Mind & Spirit']",3.0
11859,11859,B10011860,Thin,"A revolutionary diet program based on the latest science showing the importance of fat in weight loss and overall health, from #1 bestselling author Dr. Mark Hyman. Many of us have long been told that fat makes us fat, contributes to heart disease, and generally erodes our health. Now a growing body of research is debunking our fat-phobia, revealing the immense health and weight-loss benefits of a high-fat diet rich in eggs, nuts, oils, avocados, and other delicious superfoods. In his new book, bestselling author Dr. Mark Hyman introduces a new weight-loss and healthy living program based on the latest science and explains how to Eat Fat, Get Thin, and achieve optimum wellness along the way. Offering practical tools, meal plans, recipes, and shopping lists, as well as step-by-step, easy-to-follow advice, Eat Fat, Get Thin is the cutting edge way to lose weight, prevent disease, and feel your best.",['Dr. Mark Hyman'],http://books.google.com/books/content?id=wnXIBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=wnXIBgAAQBAJ&printsec=frontcover&dq=Thin&hl=&cd=1&source=gbs_api,"Little, Brown Spark",2016-02-23,https://play.google.com/store/books/details?id=wnXIBgAAQBAJ&source=gbs_api,['Health & Fitness'],23.0
8727,8727,B10008728,"Finding Jesus, Discovering Self: Passages to Healing And Wholeness","Inviting readers to see Jesus with new eyes, this volume is ideal for personal reflection or group study, and is a unique resource for the Lenten season.","['Caren Goldman', 'William Dols']",http://books.google.com/books/content?id=DvNEAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=DvNEAwAAQBAJ&printsec=frontcover&dq=Finding+Jesus,+Discovering+Self:+Passages+to+Healing+And+Wholeness&hl=&cd=1&source=gbs_api","Church Publishing, Inc.",2006-01-01,"http://books.google.com/books?id=DvNEAwAAQBAJ&dq=Finding+Jesus,+Discovering+Self:+Passages+to+Healing+And+Wholeness&hl=&source=gbs_api",['Religion'],
4288,4288,B10004289,The Sea Shall Embrace Them: The Tragic Story of the Steamship Arctic,"Describes the 1854 collision between the American steamship Arctic and the Vesta, a French ship, an accident that cost hundreds of lives, including many passengers left behind when the crew fled the ship in the lifeboats.",['David W. Shaw'],http://books.google.com/books/content?id=KYC8w0DC9P4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=KYC8w0DC9P4C&printsec=frontcover&dq=The+Sea+Shall+Embrace+Them:+The+Tragic+Story+of+the+Steamship+Arctic&hl=&cd=1&source=gbs_api,Simon and Schuster,2003-05-06,http://books.google.com/books?id=KYC8w0DC9P4C&dq=The+Sea+Shall+Embrace+Them:+The+Tragic+Story+of+the+Steamship+Arctic&hl=&source=gbs_api,['History'],
4688,4688,B10004689,50 Fast Digital Photo Techniques with Photoshop Elements 3,"* This update features fifty fast and impressive digital photo techniques-eighty percent of which are new since the previous edition * The CD-ROM includes a bonus e-book of the entire first edition-giving readers two books for the price of one * Developed by professional photographer and eDigital Photo contributing writer Gregory Georges, the techniques are valuable to both pros and hobbyists alike * Uses the latest version of Adobe Photoshop Elements in the examples, but the techniques are readily adaptable to most image-editing programs * Includes techniques for traditional photo effects, combining photos, artistic effects, animations, digital photo blends, and much more * Step-by-step details, in-depth instructions, and plenty of illustrations-including a full color insert-make it easy for people to apply the techniques to their own photos",['Gregory Georges'],http://books.google.com/books/content?id=nv0DAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=nv0DAAAACAAJ&dq=50+Fast+Digital+Photo+Techniques+with+Photoshop+Elements+3&hl=&cd=1&source=gbs_api,Wiley,2004-12-03,http://books.google.nl/books?id=nv0DAAAACAAJ&dq=50+Fast+Digital+Photo+Techniques+with+Photoshop+Elements+3&hl=&source=gbs_api,['Photography'],1.0
9657,9657,B10009658,"Gutted : Down to the Studs in My House, My Marriage, My Entire Life","In the course of a few short months, Lawrence LaRose got married, bought a decrepit house in Sag Harbor with his wife, and lost his job. This is the story of how, while negotiating a cash-strapped, divorce-teetering first year of marriage, this unemployed writer and Manhattanite ended up bluffing his way onto a Hamptons construction crew in order to learn the skills for what became an enormous home-and life-renovation. Lawrence LaRose coauthored the internationally bestselling The Code: Time-Tested Secrets for Getting What You Want from Women - Without Marrying Them! and promptly forgot his own advice. He lives with his wife and son in the paint section at KMart. ""Raucous-and ultimately heroic.""-New York Times ""Gutted is the tough-love version of every home renovation book you've ever read...Gutted is jaw-droppingly funny.""-Rocky Mountain News ""If Dave Barry were to renovate a house, the resulting story might be something like Gutted.""-Atlanta Journal-Constitution ""[Gutted] takes you beyond the simple bricks and mortar of home renovation to places the gang on This Old House wouldn't go at gunpoint...A must-read.""-Hartford Courant Also available: HC 1-58234-392-6 $24.95",['Lawrence LaRose'],http://books.google.com/books/content?id=Qr3LshsVPJQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.nl/books?id=Qr3LshsVPJQC&dq=Gutted+:+Down+to+the+Studs+in+My+House,+My+Marriage,+My+Entire+Life&hl=&cd=1&source=gbs_api",Bloomsbury Publishing USA,2008-12-06,"http://books.google.nl/books?id=Qr3LshsVPJQC&dq=Gutted+:+Down+to+the+Studs+in+My+House,+My+Marriage,+My+Entire+Life&hl=&source=gbs_api",['House & Home'],2.0
181,181,B10000182,Dare to be Great: The Unauthorized Story of Glenn Turner,"Next to food and clothing, achieving personal and professional success is rated at the very top of the hierarchical order of human needs. Everybody wants to be somebody! In this ultimate success book that includes timeless information for generations to come, the author has meticulously chronicled proven skills, strategies and secrets that, if regularly followed, will empower the reader to live the life that they imagine. Just like your car’s or phone’s GPS, these life navigation skills can get you from where you are to where you want to go in your career. In addition, critically important knowledge and abilities, including job interviewing, must-know people skills, writing, and public speaking, are covered. In this book, the author has scoured the world’s literature on these topics and interviewed highly successful people to provide one-stop shopping regarding the most proven and practical recommendations for future career success. He has also peppered the text with personal experiences and motivational/inspirational success stories, as well as testimonials/sage advice/quotes from the world’s most successful people --past and present. The key objectives of this book are to: Highlight the foundational factors underlying future career success: love what you do; realize that your behaviors largely determine your luck in life; emphasize that highly successful people take 100% responsibility for their actions and destiny; and that the secret to success involves the selfless serving of others. The rewards return—through a boomerang effect. Provide specific examples and inspirational stories highlighting 10 critical behavioral skills for success. These include: look for the good in people and situations; how to activate the law of attraction; establish goals in writing (""if it’s not on paper, it’s vapor""); take action (#1 success characteristic); know that persistence pays; ask for things you want; enhance your speaking, writing, and interviewing skills; why it’s important to work with and learn from people you want to emulate; the essence of superb people skills (e.g., integrity, making others feel important); and to regularly apply the law of sow and reap. Detail complementary approaches, tactics, and perspectives that can help you achieve your breakthrough (major) life goals. These include: time management skills and the 80/20 rule; looking for greener pastures; showcasing your talents (visibility → opportunities); committing to never-ending improvements in performance, service (or products); embracing discipline/focus/sacrifice; routinely exceeding people’s expectations; striving for greater rewards; and seeing an ocean of opportunities before you. In aggregate, these yield BIG rewards in life. Provide a potpourri of related topics, including unlooked-for opportunities; leadership and bringing out the best in those around you; avoiding overcautiousness; volunteering (raising your hand); reframing future commitments; the power (and magic) of an unexpected thank you note; and the disproportionate dividends and good karma that result from giving back and mentoring others.",['Barry A. Franklin'],http://books.google.com/books/content?id=J4VlEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=J4VlEAAAQBAJ&pg=PT164&dq=Dare+to+be+Great:+The+Unauthorized+Story+of+Glenn+Turner&hl=&cd=1&source=gbs_api,CRC Press,2022-05-04,https://play.google.com/store/books/details?id=J4VlEAAAQBAJ&source=gbs_api,['Business & Economics'],
12226,12226,B10012227,"Desktop Video Studio Bible : Producing Video, DVD, and Websites for Profit","Written in a clear, non-technical manner, Introduction to Video Production focuses on the fundamental principles of video production and the technologies used in production. This book discusses video aesthetics, technologies, and production practice in a clear and concise manner. It also emphasizes the importance of teamwork and planning in the production process. Chapters are clearly organized and heavily illustrated, with key terms identified in boldface. With Introduction to Video Production, readers will learn not only how the technology works, but how to work with the technology and with each other.","['Ronald Compesi', 'Jaime Gomez']",http://books.google.com/books/content?id=K5vhCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=K5vhCgAAQBAJ&pg=PA373&dq=Desktop+Video+Studio+Bible+:+Producing+Video,+DVD,+and+Websites+for+Profit&hl=&cd=1&source=gbs_api",CRC Press,2015-10-30,"http://books.google.com/books?id=K5vhCgAAQBAJ&dq=Desktop+Video+Studio+Bible+:+Producing+Video,+DVD,+and+Websites+for+Profit&hl=&source=gbs_api",['Art'],
2919,2919,B10002920,The Kitchen Companion : The Ultimate Guide to Cooking and the Kitchen,"A guide for beginning and experienced cooks features advice on ingredients and measuring, general cooking hints, tips on seasonings, basic recipes with simple variations, and charts for changing recipes and using substitute ingredients",['Polly Clingerman'],http://books.google.com/books/content?id=JGAGAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=JGAGAAAACAAJ&dq=The+Kitchen+Companion+:+The+Ultimate+Guide+to+Cooking+and+the+Kitchen&hl=&cd=1&source=gbs_api,Amer Cooking Guild,1994,http://books.google.com/books?id=JGAGAAAACAAJ&dq=The+Kitchen+Companion+:+The+Ultimate+Guide+to+Cooking+and+the+Kitchen&hl=&source=gbs_api,['Cooking'],
11121,11121,B10011122,Eleventh Hour (FBI Thriller),"Husband-and-wife agents Lacey Sherlock and Dillon Savich investigate the murder of FBI agent Dane Carver's twin brother, Father Michael Joseph, and seek the assistance of homeless woman Nicola Jones, a witness to the shooting who is tormented by personal demons. Reprint.",['Catherine Coulter'],http://books.google.com/books/content?id=vrxKc2i6bV4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=vrxKc2i6bV4C&printsec=frontcover&dq=Eleventh+Hour+(FBI+Thriller)&hl=&cd=1&source=gbs_api,Penguin,2003,http://books.google.com/books?id=vrxKc2i6bV4C&dq=Eleventh+Hour+(FBI+Thriller)&hl=&source=gbs_api,['Fiction'],13.0
3421,3421,B10003422,Luscious Chocolate Desserts,"In the ultimate chocolate-lover's cookbook, the author of Luscious Lemon Desserts introduces more than seventy tantalizing recipes for cakes, tarts and pies, puddings and soufflés, cookies, ice cream, and candy that range from a simple chocolate pound cake, to elaborate chocolate profiteroles with ice cream and chocolate sauce, to mocha tiramisu. 25,000 first printing.",['Lori Longbotham'],http://books.google.com/books/content?id=HiQbHKn-jTQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=HiQbHKn-jTQC&printsec=frontcover&dq=Luscious+Chocolate+Desserts&hl=&cd=1&source=gbs_api,Chronicle Books,2004-08-12,http://books.google.com/books?id=HiQbHKn-jTQC&dq=Luscious+Chocolate+Desserts&hl=&source=gbs_api,['Cooking'],
1489,1489,B10001490,The Good Soldier (100 Grestest Books of the 20th Century),"The Good Soldier is considered Ford's masterpiece. This tale of adultery and deceit centers around two couples, Edward and Leonora Ashburnham, and their American friends, John and Florence Dowell. John Dowell narrates the events of Florence's affair with Edward, the ""good soldier,"" and her subsequent suicide. Through Dowell's confused and perhaps unreliable narrative, Ford attempted to recreate real thoughts. This literary technique was a forerunner to literary techniques employed by such later writers as Samuel Beckett and J.M. Coetzee. Ford Madox Ford (Ford Madox Hueffer) was born in 1873. He was a novelist, poet, literary critic, editor, and one of the founding fathers of English Modernism. He published over eighty books, including two collaborations with Joseph Conrad (Inheritors in 1901 and Romance in 1903). He died in 1939.",['Ford Maddox Ford'],http://books.google.com/books/content?id=rRQYEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=rRQYEAAAQBAJ&printsec=frontcover&dq=The+Good+Soldier+(100+Grestest+Books+of+the+20th+Century)&hl=&cd=1&source=gbs_api,Wildside Press LLC,2021-01-28,https://play.google.com/store/books/details?id=rRQYEAAAQBAJ&source=gbs_api,['Fiction'],47.0
11925,11925,B10011926,Corporate Finance: A Focused Approach,"Focus on the financial concepts, skills, and technological applications that are critical for you in today’s workplace with Ehrhardt/Brigham’s CORPORATE FINANCE: A FOCUSED APPROACH 6E. With its relevant and engaging presentation and numerous examples, you will learn the latest financial developments as you also learn how to maximize a firm’s value in today’s changing business environment. You will master the features and functions of spreadsheets by using chapter Excel Tool Kits, Build a Model problems, and Mini Cases that encourage “what-if” analysis on a real-time basis. Important Notice: Media content referenced within the product description or the product text may not be available in the ebook version.","['Michael C. Ehrhardt', 'Eugene F. Brigham']",http://books.google.com/books/content?id=h8EaCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=h8EaCgAAQBAJ&pg=PP1&dq=Corporate+Finance:+A+Focused+Approach&hl=&cd=1&source=gbs_api,Cengage Learning,2016-01-01,https://play.google.com/store/books/details?id=h8EaCgAAQBAJ&source=gbs_api,['Business & Economics'],
2227,2227,B10002228,Magnetic Mountain: Stalinism As a Civilization,"""A kind of archaeological analysis of Soviet life during the momentous years of Stalinist industrialization.""—Lewis Siegelbaum, Michigan State University",['Stephen Kotkin'],http://books.google.com/books/content?id=Qg6pZ01Eu_8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=Qg6pZ01Eu_8C&printsec=frontcover&dq=Magnetic+Mountain:+Stalinism+As+a+Civilization&hl=&cd=1&source=gbs_api,Univ of California Press,1995,http://books.google.com/books?id=Qg6pZ01Eu_8C&dq=Magnetic+Mountain:+Stalinism+As+a+Civilization&hl=&source=gbs_api,['History'],1.0
9859,9859,B10009860,The Master Plan: Himmler's Scholars and the Holocaust,"“A fascinating volume detailing the Nazis’ crackpot theories about prehistory and the Indiana Jones–style lengths they went to prove them.” —Publishers Weekly In 1935, Heinrich Himmler established a Nazi research institute called The Ahnenerbe, whose mission was to send teams of scholars around the world to search for proof of ancient Aryan conquests. But history was not their most important focus. Rather, the Ahnenerbe was an essential part of Himmler’s master plan for the Final Solution. The findings of the institute were used to convince armies of SS men that they were entitled to slaughter Jews and other groups. And Himmler also hoped to use the research as a blueprint for the breeding of a new Europe in a racially purer mold. The Master Plan is a groundbreaking expose of the work of German scientists and scholars who allowed their research to be warped to justify extermination, and who directly participated in the slaughter—many of whom resumed their academic positions at war’s end. It is based on Heather Pringle’s extensive original research, including previously ignored archival material and unpublished photographs, and interviews with living members of the institute and their survivors. A sweeping history told with the drama of fiction, The Master Plan is at once horrifying, transfixing, and monumentally important to our comprehension of how something as unimaginable as the Holocaust could have progressed from fantasy to reality. “Pringle’s engrossing book . . . explores a little-known corner of Nazi history: the story of the Ahnenerbe . . . rich in such bizarre characters, ridiculous theories and colorful anecdotes. Massively researched and engagingly written.” —The Daily Telegraph",['Heather Pringle'],http://books.google.com/books/content?id=ATmZAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=ATmZAAAAQBAJ&printsec=frontcover&dq=The+Master+Plan:+Himmler%27s+Scholars+and+the+Holocaust&hl=&cd=1&source=gbs_api,Hachette+ORM,2006-02-15,https://play.google.com/store/books/details?id=ATmZAAAAQBAJ&source=gbs_api,['History'],4.0
457,457,B10000458,The O'Reilly Factor for Kids: A Survival Guide for America's Families,"The bestselling author ofThe O'Reilly Factor, The No Spin Zone, and Who's Looking Out for You? talks straight to kids this time. He is as demanding, direct, and wry asever—but he's also more revealing too, sharing candid snapshots of his own childhood throughout. Bill O'Reilly, a former schoolteacher, now an award-winning broadcast news journalist, husband, and father of two, joins forces with an experienced educator to bring you, America's youth, a code of ethics by which to live. In this latest book, Bill takes to task bullies, cheaters, advertisers who target you irresponsibly, and parents who fight for their children to win undeserved honors instead of earning them on their own merit. He lays bare the unvarnished truths about sex, money, smoking, drugs, alcohol, and friends. What he has to say about these issues may very well surprise you. He offers coping devices for those enduring a divorce, struggling with teacher, parent, or sibling relationships, and planning their futures. He also shares wisdom on such subjects as death, politics, and God. Whether you take the tests he's provided, take the advice he doles out, or just take a cue from the personal stories he shares, you're bound to make smarter choices in your life, and that's all Bill asks for.","[""Bill O'Reilly"", 'Charles Flowers']",http://books.google.com/books/content?id=YBT5tfF-LloC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=YBT5tfF-LloC&printsec=frontcover&dq=The+O%27Reilly+Factor+for+Kids:+A+Survival+Guide+for+America%27s+Families&hl=&cd=1&source=gbs_api,Harper Collins,2004-09-28,http://books.google.com/books?id=YBT5tfF-LloC&dq=The+O%27Reilly+Factor+for+Kids:+A+Survival+Guide+for+America%27s+Families&hl=&source=gbs_api,['Family & Relationships'],6.0
9035,9035,B10009036,The Night Before Kindergarten,"In the narrative tradition of ""The Night Before Christmas,"" shows children from all over town preparing for their first day of kindergarten, imagining what wonders they will see.",['Natasha Wing'],http://books.google.com/books/content?id=K4coEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=K4coEAAAQBAJ&pg=PA8&dq=The+Night+Before+Kindergarten&hl=&cd=1&source=gbs_api,Penguin,2014-05,http://books.google.com/books?id=K4coEAAAQBAJ&dq=The+Night+Before+Kindergarten&hl=&source=gbs_api,['FICTION'],16.0
